,municipality,latitude,longitude
253,Toholampi,63.73446729126444,24.29137308937394
254,Ullava,63.65910095522076,23.988042849776313
255,Veteli,63.39906186738878,23.91022611082127
256,Himanka,64.06781577141857,23.778646582338045
257,Kannus,63.92804301846777,23.97302454105605
258,Kokkola,63.82160250815294,23.14918116836727
259,Kälviä,63.74973579917263,23.782370464484682
260,Lohtaja,63.96798683950047,23.567893887226877
261,Dragsfjärd,59.98095928077652,22.441671592690888
262,Houtskari,60.23751290144544,21.34580787404583
263,Iniö,60.39023466259423,21.338424968862746
264,Loimaa,60.859296821069506,23.069890387876853
265,Kemiö,60.16554352285895,22.688199032301984
266,Korppoo,60.11598812472138,21.560103514458962
267,Nauvo,60.122639000584016,21.881749965726403
268,Parainen,60.26999646093406,22.294856005709875
269,Västanfjärd,60.03972876834063,22.671232245554187
270,Alastaro,60.96930434818335,22.80658877669153
271,Aura,60.63718723216464,22.545886218863842
272,Karinainen,60.67108357877232,22.80095607884406
273,Koski TL,60.66154453414609,23.129725462624105
274,Loimaan kunta,60.895738001038865,23.037334499118693
275,Marttila,60.60212742538247,22.936304741544117
276,Mellilä,60.75392591743042,22.984651337078017
277,Halikko,60.421305637825824,22.975478885102778
278,Kiikala,60.46185773769156,23.518155091061093
279,Kisko,60.25432745843167,23.462481947089415
280,Kuusjoki,60.542730388896096,23.21558453294817
281,Muurla,60.346454793438795,23.292716001558414
282,Lieto,60.53665429897671,22.497688764470773
283,Perniö,60.21317527472403,23.11813700984127
284,Pertteli,60.450321674242296,23.323673282752853
285,Masku,60.54804192648372,22.077869216912966
286,Särkisalo,60.09357428727489,22.94312344490759
287,Somero,60.61442068977897,23.55651852299752
288,Suomusjärvi,60.3674988707127,23.649517008380084
289,Paimio,60.453043618600894,22.72371807294472
290,Askainen,60.536521045706536,21.81145175412642
291,Kaarina,60.41074265736874,22.38317765824473
292,Lemu,60.571663153804344,21.966439523094888
293,Merimasku,60.46318311423062,21.85063531233554
294,Mynämäki,60.75836057090696,22.054629994564696
295,Naantali,60.45929582155153,22.021516382499662
296,Nousiainen,60.65566171095115,22.175009057279453
297,Jämijärvi,61.84098542003067,22.674409947572546
298,Piikkiö,60.42491278823011,22.523320482040916
299,Raisio,60.49108762866905,22.149529886335586
300,Rusko,60.549971105622745,22.23140064574053
301,Rymättylä,60.36181794995935,21.899141626164514
302,Vahto,60.641591986066075,22.33153628174715
303,Sauvo,60.30334761842076,22.678902424450943
304,Mietoinen,60.63138566410158,21.87815654206628
305,Turku,60.48878341449045,22.287909126395814
306,Velkua,60.44263962348879,21.668556380381336
307,Kustavi,60.56447636216532,21.335646969901955
308,Laitila,60.8944565940119,21.775473591756878
309,Pyhäranta,60.98624754315986,21.47601485126298
310,Vehmaa,60.67785894226452,21.682870715815344
311,Taivassalo,60.56642574192491,21.585220545764212
312,Uusikaupunki,60.793817865959994,21.448696675524303
313,Kruunupyy,63.646937109382996,23.31265000834239
314,Luoto,63.79727364362133,22.737141998275792
315,Kaskinen,62.36449807121245,21.230532845068048
316,Kristiinankaupunki,62.183629515964704,21.504912618986936
317,Pedersöre,63.53609729570926,22.99967787862292
318,Pietarsaari,63.665964652180946,22.654628416309738
319,Uusikaarlepyy,63.4462737343945,22.575914413907828
320,Närpiö,62.57212149696733,21.403189389648368
321,Isokyrö,62.97502985434874,22.343857029209776
322,Laihia,62.882342497998884,22.029179770938907
323,Vähäkyrö,63.05823326906137,22.07690488980773
324,Mustasaari,63.1674048793126,21.635993794446772
325,Korsnäs,62.783773809857486,21.239958815744973
326,Maalahti,62.87393051744785,21.50973485068645
327,Maksamaa,63.2890988171545,22.040124397104517
328,Oravainen,63.270285500467914,22.437161976176906
329,Hollola,61.00849359568025,25.480370593107338
330,Vöyri,63.162152558658704,22.345434577826264
331,Vaasa,63.07556117880604,21.592003378312178
332,Asikkala,61.21145451481923,25.58848725352833
333,Kärkölä,60.85755364248764,25.270360707856618
334,Lahti,60.97763984400394,25.68516303047698
335,Nastola,60.99530652020065,25.94302239360248
336,Padasjoki,61.36759942507673,25.202135367548227
337,Kihniö,62.20688347425115,23.194990099705407
338,Hämeenkyrö,61.62317338976145,23.18079359304103
339,Ikaalinen,61.8251915544978,23.083717953269552
340,Parkano,62.04978954671459,22.981322949427316
341,Viljakkala,61.734454738681706,23.403224682074157
342,Sahalahti,61.47183875875506,24.402797740516565
343,Kuhmalahti,61.508164928065035,24.712029308738963
344,Luopioinen,61.3640074832815,24.71098685492606
345,Pälkäne,61.335587462638536,24.321017568980576
346,Äetsä,61.32116666767738,22.725064743204026
347,Mouhijärvi,61.51688260201932,22.970591196559084
348,Punkalaidun,61.11644823541128,23.129002798396908
349,Suodenniemi,61.59017295099232,22.74076039996225
350,Vammala,61.33839904594918,23.02937650162975
351,Kylmäkoski,61.13398235558887,23.714236070657588
352,Urjala,61.080920886914214,23.497345696681105
353,Valkeakoski,61.21738386068939,24.05791288642558
354,Viiala,61.21095297874144,23.72620790644297
355,Kangasala,61.472936494576736,24.10747711011657
356,Lempäälä,61.34483160404358,23.779859315943188
357,Nokia,61.4521853087876,23.371449578160327
358,Tampere,61.63053865246795,23.88324942867396
359,Vesilahti,61.284312257556586,23.48795219236248
360,Ylöjärvi,61.623712585871274,23.61146072288989
361,Juupajoki,61.823487456594734,24.473522769591177
362,Kuru,61.94232498200778,23.59484310699552
363,Kullaa,61.494771569513375,22.197329640588524
364,Längelmäki,61.71417704035174,24.757451196627482
365,Mänttä,62.05570459150258,24.62340705161928
366,Orivesi,61.662830650424226,24.362669496628605
367,Ruovesi,61.969770409295336,24.054133295980076
368,Vilppula,62.087094212235534,24.372838162412595
369,Virrat,62.272702406169486,23.704438908922846
370,Honkajoki,62.013177142186706,22.226550039004618
371,Kankaanpää,61.83932488803082,22.39383566151197
372,Karvia,62.15184184462149,22.618326978970355
373,Kiikoinen,61.46517696237913,22.58660856938605
374,Lavia,61.60651293917772,22.486012161701776
375,Siikainen,61.86813952916259,21.89534778392562
376,Harjavalta,61.335851670109584,22.147292287354553
377,Merikarvia,61.89809096635323,21.581648830686753
378,Luvia,61.36219912354999,21.627411864859287
